MongoDB observer connected: localhost:27017/env_poisoning
INFO - environment_poisoning_attack - Running command 'sacred_main'
INFO - environment_poisoning_attack - Started run with ID "40"
INFO - victim_tracking - Running command 'victim_main'
INFO - victim_tracking - Started run with ID "31"
Starting Sacred experiment: 40
Configuration: {'__doc__': 'Default experiment configuration.', 'experiment_name': 'env_poisoning_attack', 'privacy_mode': 'full_whitebox', 'seed': 2, 'max_episodes': 12000, 'max_timesteps': 15, 'eval_freq_episode': 20, 'eps_greedy_start_episodes': 30, 'victim_n_episodes': 80, 'keep_checkpoints': 3, 'batch_size': 256, 'discount': 0.9, 'tau': 0.005, 'expl_noise': 0.1, 'policy_noise': 0.2, 'noise_clip': 0.5, 'policy_freq': 2, 'ae_embedding_size': 5, 'ae_seq_len': 5, 'ae_n_epochs': 10, 'victim_memory_size': 50, 'victim_discount_factor': 1.0, 'victim_alpha': 0.1, 'victim_epsilon': 0.1, 'model_dir': None, 'num_victims': 1, 'victim_algo': 'qlearning', 'attack_algo': 'ddpg', 'env': 'grid3d', 'env_shape': None, 'grid_size': 6, 'encoder_mode': 'whitebox'}
Victim MongoDB observer connected: localhost:27017/env_poisoning_victims
Victim Sacred experiment started: run_id=31
[   70/12000]  acc=0.5333  min=0.4000  best=0.6000  reward=7.53
[   71/12000]  acc=0.5333  min=0.4000  best=0.6000  reward=7.33
[   72/12000]  acc=0.4667  min=0.4000  best=0.6000  reward=6.87
[   73/12000]  acc=0.4667  min=0.4667  best=0.6000  reward=7.27
[   74/12000]  acc=0.5333  min=0.4000  best=0.6000  reward=7.27
[   75/12000]  acc=0.4667  min=0.4000  best=0.6000  reward=7.20
[   76/12000]  acc=0.3333  min=0.3333  best=0.6000  reward=6.40
[   77/12000]  acc=0.4667  min=0.2667  best=0.6000  reward=6.80
[   78/12000]  acc=0.4667  min=0.3333  best=0.6000  reward=6.53
[   79/12000]  acc=0.4667  min=0.3333  best=0.6000  reward=6.87
[   80/12000]  acc=0.4667  min=0.2667  best=0.6000  reward=6.87 [ckpt]
[   81/12000]  acc=0.5333  min=0.4000  best=0.6000  reward=8.13
[   82/12000]  acc=0.4667  min=0.2667  best=0.6000  reward=7.33
[   83/12000]  acc=0.4667  min=0.4000  best=0.6000  reward=7.67
[   84/12000]  acc=0.4667  min=0.3333  best=0.6000  reward=7.20
[   85/12000]  acc=0.6667  min=0.2667  best=0.6667  reward=9.27
[   86/12000]  acc=0.6667  min=0.2667  best=0.6667  reward=9.93
[   87/12000]  acc=0.6667  min=0.4000  best=0.6667  reward=9.53
[   88/12000]  acc=0.6667  min=0.4667  best=0.6667  reward=9.67
[   89/12000]  acc=0.6667  min=0.3333  best=0.6667  reward=9.73
[   90/12000]  acc=0.6667  min=0.2667  best=0.6667  reward=9.40
[   91/12000]  acc=0.7333  min=0.2667  best=0.7333  reward=9.80
[   92/12000]  acc=0.6667  min=0.3333  best=0.7333  reward=9.53
[   93/12000]  acc=0.6667  min=0.4000  best=0.7333  reward=9.67
[   94/12000]  acc=0.6667  min=0.4667  best=0.7333  reward=9.80
[   95/12000]  acc=0.6667  min=0.4667  best=0.7333  reward=9.53
[   96/12000]  acc=0.6667  min=0.4000  best=0.7333  reward=10.00
[   97/12000]  acc=0.6667  min=0.4000  best=0.7333  reward=9.60
[   98/12000]  acc=0.7333  min=0.3333  best=0.7333  reward=9.80
[   99/12000]  acc=0.6667  min=0.4667  best=0.7333  reward=9.80
[  100/12000]  acc=0.6667  min=0.3333  best=0.7333  reward=9.47 [ckpt]
[  101/12000]  acc=0.6667  min=0.2667  best=0.7333  reward=9.67
[  102/12000]  acc=0.6667  min=0.4000  best=0.7333  reward=9.60
[  103/12000]  acc=0.6667  min=0.4667  best=0.7333  reward=10.27
[  104/12000]  acc=0.6667  min=0.2667  best=0.7333  reward=9.80
[  105/12000]  acc=0.8000  min=0.4667  best=0.8000  reward=10.60
[  106/12000]  acc=0.6667  min=0.5333  best=0.8000  reward=10.07
[  107/12000]  acc=0.6667  min=0.4000  best=0.8000  reward=9.60
[  108/12000]  acc=0.7333  min=0.4000  best=0.8000  reward=9.67
[  109/12000]  acc=0.6667  min=0.4000  best=0.8000  reward=9.73
[  110/12000]  acc=0.6667  min=0.4667  best=0.8000  reward=9.60
[  111/12000]  acc=0.7333  min=0.3333  best=0.8000  reward=10.20
[  112/12000]  acc=0.6667  min=0.3333  best=0.8000  reward=9.60
[  113/12000]  acc=0.6667  min=0.4000  best=0.8000  reward=9.60
[  114/12000]  acc=0.6667  min=0.3333  best=0.8000  reward=9.73
[  115/12000]  acc=0.6667  min=0.4000  best=0.8000  reward=9.73
[  116/12000]  acc=0.7333  min=0.5333  best=0.8000  reward=10.40
[  117/12000]  acc=0.7333  min=0.4000  best=0.8000  reward=10.00
[  118/12000]  acc=0.6667  min=0.4000  best=0.8000  reward=9.80
[  119/12000]  acc=0.6667  min=0.4667  best=0.8000  reward=9.67
[  120/12000]  acc=0.7333  min=0.4000  best=0.8000  reward=10.40 [ckpt]
[  121/12000]  acc=0.6667  min=0.5333  best=0.8000  reward=10.27
[  122/12000]  acc=0.7333  min=0.4000  best=0.8000  reward=10.60
[  123/12000]  acc=0.6667  min=0.5333  best=0.8000  reward=9.87
[  124/12000]  acc=0.6667  min=0.3333  best=0.8000  reward=9.47
[  125/12000]  acc=0.6667  min=0.3333  best=0.8000  reward=9.60
[  126/12000]  acc=0.6667  min=0.5333  best=0.8000  reward=9.73
[  127/12000]  acc=0.7333  min=0.4667  best=0.8000  reward=10.20
[  128/12000]  acc=0.6667  min=0.3333  best=0.8000  reward=9.60
[  129/12000]  acc=0.7333  min=0.4000  best=0.8000  reward=10.13
[  130/12000]  acc=0.6667  min=0.3333  best=0.8000  reward=9.87
[  131/12000]  acc=0.6667  min=0.4667  best=0.8000  reward=9.73
[  132/12000]  acc=0.6667  min=0.2667  best=0.8000  reward=9.53
[  133/12000]  acc=0.7333  min=0.3333  best=0.8000  reward=10.07
[  134/12000]  acc=0.6667  min=0.2667  best=0.8000  reward=9.60
[  135/12000]  acc=0.6667  min=0.5333  best=0.8000  reward=9.93
[  136/12000]  acc=0.6667  min=0.4667  best=0.8000  reward=9.67
[  137/12000]  acc=0.6667  min=0.2000  best=0.8000  reward=10.00
[  138/12000]  acc=0.6667  min=0.4000  best=0.8000  reward=9.93
[  139/12000]  acc=0.6667  min=0.4000  best=0.8000  reward=9.73
[  140/12000]  acc=0.6667  min=0.3333  best=0.8000  reward=9.87 [ckpt]
[  141/12000]  acc=0.8000  min=0.4000  best=0.8000  reward=10.20
[  142/12000]  acc=0.6667  min=0.4667  best=0.8000  reward=10.20
[  143/12000]  acc=0.6667  min=0.3333  best=0.8000  reward=10.40
[  144/12000]  acc=0.7333  min=0.3333  best=0.8000  reward=9.93
[  145/12000]  acc=0.6667  min=0.4667  best=0.8000  reward=10.27
[  146/12000]  acc=0.6667  min=0.4667  best=0.8000  reward=9.93
[  147/12000]  acc=0.6667  min=0.3333  best=0.8000  reward=9.80
[  148/12000]  acc=0.6667  min=0.4000  best=0.8000  reward=9.87
[  149/12000]  acc=0.7333  min=0.4000  best=0.8000  reward=10.13
[  150/12000]  acc=0.7333  min=0.3333  best=0.8000  reward=10.20
[  151/12000]  acc=0.6667  min=0.4667  best=0.8000  reward=10.20
[  152/12000]  acc=0.7333  min=0.3333  best=0.8000  reward=10.00
[  153/12000]  acc=0.6667  min=0.3333  best=0.8000  reward=9.73
[  154/12000]  acc=0.6667  min=0.4667  best=0.8000  reward=9.93
[  155/12000]  acc=0.6667  min=0.3333  best=0.8000  reward=9.80
[  156/12000]  acc=0.7333  min=0.4000  best=0.8000  reward=10.07
[  157/12000]  acc=0.6667  min=0.6000  best=0.8000  reward=10.27
[  158/12000]  acc=0.7333  min=0.4000  best=0.8000  reward=10.40
[  159/12000]  acc=0.6667  min=0.5333  best=0.8000  reward=9.93
[  160/12000]  acc=0.6667  min=0.4667  best=0.8000  reward=9.73 [ckpt]
[  161/12000]  acc=0.7333  min=0.4667  best=0.8000  reward=10.40
[  162/12000]  acc=0.7333  min=0.5333  best=0.8000  reward=10.40
[  163/12000]  acc=0.6667  min=0.4667  best=0.8000  reward=9.80
[  164/12000]  acc=0.6667  min=0.3333  best=0.8000  reward=9.73
[  165/12000]  acc=0.6667  min=0.4667  best=0.8000  reward=10.07
[  166/12000]  acc=0.6667  min=0.4000  best=0.8000  reward=10.07
[  167/12000]  acc=0.7333  min=0.2667  best=0.8000  reward=9.73
[  168/12000]  acc=0.7333  min=0.5333  best=0.8000  reward=10.07
[  169/12000]  acc=0.6667  min=0.2667  best=0.8000  reward=10.40
[  170/12000]  acc=0.6667  min=0.4000  best=0.8000  reward=9.87
[  171/12000]  acc=0.6667  min=0.4667  best=0.8000  reward=10.07
[  172/12000]  acc=0.7333  min=0.4000  best=0.8000  reward=10.13
[  173/12000]  acc=0.8000  min=0.4000  best=0.8000  reward=10.13
[  174/12000]  acc=0.6667  min=0.3333  best=0.8000  reward=9.53
[  175/12000]  acc=0.7333  min=0.3333  best=0.8000  reward=10.33
[  176/12000]  acc=0.6667  min=0.4667  best=0.8000  reward=9.73
[  177/12000]  acc=0.6667  min=0.3333  best=0.8000  reward=9.60
[  178/12000]  acc=0.8000  min=0.4667  best=0.8000  reward=10.13
[  179/12000]  acc=0.6667  min=0.4667  best=0.8000  reward=9.67
[  180/12000]  acc=0.6667  min=0.4000  best=0.8000  reward=10.07 [ckpt]
[  181/12000]  acc=0.6667  min=0.4000  best=0.8000  reward=9.47
[  182/12000]  acc=0.6667  min=0.3333  best=0.8000  reward=9.53
